name,type,url,recommended_style,tech_tags
Microsoft Cloud Show by Andrew Connell and Chris Johnson,Podcast,https://www.microsoftcloudshow.com/,Auditory,"Cloud, Microsoft, Beginner"
SoundCloud Application in React + Redux,Article,https://www.robinwieruch.de/the-soundcloud-client-in-react-redux/,Reading/Writing,"Cloud, Beginner"
A Mathematical Theory of Communication by Claude E.Shannon,Book,https://archive.org/details/bstj27-4-623,Reading/Writing,"Cloud, Beginner"
Migrating to Cloud-Native Application Architectures,Article,https://cognitiveclass.ai/courses/introduction-to-cloud,Reading/Writing,"Cloud, Beginner"
AWS Certified Cloud Practitioner Course by Stephane Maarek,Video,https://youtube.com/playlist?list=PLt1SIbA8guuvfvUDVLpJepmbnYpOfYCIB,Visual,"Cloud, Beginner"
Bash Basics for Cloud Computing by Kumulus Technologies,Online Course,https://www.udemy.com/course/bash-basics-for-cloud-computing/,"Visual,Auditory,Kinesthetic,Reading/Writing","Cloud, Beginner"
Programming Cloud Services for Android Handheld Systems,Online Course,https://www.coursera.org/course/mobilecloudprogram,"Visual,Auditory,Kinesthetic,Reading/Writing","Cloud, Beginner"
Machine learning by David Nishimoto,Podcast,https://anchor.fm/david-nishimoto,Auditory,"Machine Learning, Beginner"
Machine Learning by Nerd's Lesson,Video,https://youtube.com/playlist?list=PL7T06JEc5PF5Vuz1U7lEEaFPOExDbKVEh,Visual,"Machine Learning, Beginner"
Machine Learning Simplified by Andrew Wolf,Book,https://themlsbook.com/read,Reading/Writing,"Machine Learning, Beginner"
"Machine Learning Specialization by Andrew Ng, Eddy Shyu, Aarti Bagul, Geoff Ladwig",Online Course,https://www.coursera.org/specializations/machine-learning-introduction,"Visual,Auditory,Kinesthetic,Reading/Writing","Machine Learning, Beginner"
Learning Machines 101 by Richard M. Golden,Book,https://archive.org/details/ataribooks-machine-language-for-beginners,Reading/Writing,"Machine Learning, Beginner"
